time,lat,lon,hs_swell_m
2026-04-24T00:00:00.000000000,19.3476,264.16610000000003,0.0
2026-04-24T01:00:00.000000000,19.3476,264.16610000000003,0.0
2026-04-24T02:00:00.000000000,19.3476,264.16610000000003,0.0
2026-04-24T03:00:00.000000000,19.3476,264.16610000000003,0.0
2026-04-24T04:00:00.000000000,19.3476,264.16610000000003,0.0
2026-04-24T05:00:00.000000000,19.3476,264.16610000000003,0.0
2026-04-24T06:00:00.000000000,19.3476,264.16610000000003,0.0
2026-04-24T07:00:00.000000000,19.3476,264.16610000000003,0.0
2026-04-24T08:00:00.000000000,19.3476,264.16610000000003,0.0
2026-04-24T09:00:00.000000000,19.3476,264.16610000000003,0.0
2026-04-24T10:00:00.000000000,19.3476,264.16610000000003,0.0
2026-04-24T11:00:00.000000000,19.3476,264.16610000000003,0.0
2026-04-24T12:00:00.000000000,19.3476,264.16610000000003,0.0
2026-04-24T13:00:00.000000000,19.3476,264.16610000000003,0.0
2026-04-24T14:00:00.000000000,19.3476,264.16610000000003,0.0
2026-04-24T15:00:00.000000000,19.3476,264.16610000000003,0.0
2026-04-24T16:00:00.000000000,19.3476,264.16610000000003,0.0
2026-04-24T17:00:00.000000000,19.3476,264.16610000000003,0.0
2026-04-24T18:00:00.000000000,19.3476,264.16610000000003,0.0
2026-04-24T19:00:00.000000000,19.3476,264.16610000000003,0.0
2026-04-24T20:00:00.000000000,19.3476,264.16610000000003,0.0
2026-04-24T21:00:00.000000000,19.3476,264.16610000000003,0.0
2026-04-24T22:00:00.000000000,19.3476,264.16610000000003,0.0
2026-04-24T23:00:00.000000000,19.3476,264.16610000000003,0.0
