Tiempo,Temperatura atmosferica,Temperatura LUFT
2026-04-17 16:30:00,26.9000,0.0000
2026-04-17 16:40:00,26.8000,23.1000
2026-04-17 16:50:00,26.7000,23.6000
2026-04-17 17:00:00,26.8000,23.7000
2026-04-17 17:10:00,26.9000,23.7000
2026-04-17 17:20:00,27.0000,23.5000
2026-04-17 17:30:00,27.0000,23.6000
2026-04-17 17:40:00,27.0000,23.7000
2026-04-17 17:50:00,27.1000,0.0000
2026-04-17 18:00:00,27.1000,23.8000
2026-04-17 18:10:00,27.1000,23.7000
2026-04-17 18:20:00,27.1000,0.0000
2026-04-17 18:30:00,27.2000,23.8000
2026-04-17 18:40:00,27.3000,24.0000
2026-04-17 18:50:00,27.3000,23.8000
2026-04-17 19:00:00,27.2000,0.0000
2026-04-17 19:10:00,27.2000,23.7000
2026-04-17 19:20:00,27.2000,23.8000
2026-04-17 19:30:00,27.2000,24.0000
2026-04-17 19:40:00,27.3000,23.8000
2026-04-17 19:50:00,27.4000,0.0000
2026-04-17 20:00:00,27.6000,24.0000
2026-04-17 20:10:00,27.7000,0.0000
2026-04-17 20:20:00,27.8000,24.0000
2026-04-17 20:30:00,27.8000,24.1000
2026-04-17 20:40:00,27.8000,0.0000
2026-04-17 20:50:00,27.8000,23.9000
2026-04-17 21:00:00,28.0000,23.9000
2026-04-17 21:10:00,28.2000,0.0000
2026-04-17 21:20:00,28.3000,24.3000
2026-04-17 21:30:00,28.3000,0.0000
2026-04-17 21:40:00,28.2000,25.0000
2026-04-17 21:50:00,28.4000,0.0000
2026-04-17 22:00:00,28.4000,24.7000
2026-04-17 22:10:00,28.4000,0.0000
2026-04-17 22:20:00,28.1000,0.0000
2026-04-17 22:30:00,27.9000,24.2000
2026-04-17 22:40:00,27.9000,24.0000
2026-04-17 22:50:00,27.7000,0.0000
2026-04-17 23:00:00,27.6000,23.9000
2026-04-17 23:10:00,27.5000,0.0000
2026-04-17 23:20:00,27.6000,24.2000
2026-04-17 23:30:00,27.5000,24.1000
2026-04-17 23:40:00,27.4000,23.9000
2026-04-17 23:50:00,27.4000,24.0000
2026-04-18 00:00:00,27.3000,24.0000
2026-04-18 00:10:00,27.2000,24.1000
2026-04-18 00:20:00,27.2000,0.0000
2026-04-18 00:30:00,27.2000,23.9000
2026-04-18 00:40:00,27.1000,24.0000
2026-04-18 00:50:00,27.1000,0.0000
2026-04-18 01:00:00,27.0000,24.0000
2026-04-18 01:10:00,27.2000,24.0000
2026-04-18 01:20:00,27.1000,0.0000
2026-04-18 01:30:00,27.1000,0.0000
2026-04-18 01:40:00,27.0000,0.0000
2026-04-18 01:50:00,27.0000,0.0000
2026-04-18 02:00:00,27.0000,24.0000
2026-04-18 02:10:00,26.9000,23.9000
2026-04-18 02:20:00,27.1000,0.0000
2026-04-18 02:30:00,27.0000,0.0000
2026-04-18 02:40:00,27.1000,23.8000
2026-04-18 02:50:00,27.0000,23.8000
2026-04-18 03:00:00,27.0000,0.0000
2026-04-18 03:10:00,26.9000,0.0000
2026-04-18 03:20:00,26.9000,23.7000
2026-04-18 03:30:00,26.9000,0.0000
2026-04-18 03:40:00,26.8000,0.0000
2026-04-18 03:50:00,26.8000,23.6000
2026-04-18 04:00:00,26.9000,23.5000
2026-04-18 04:10:00,26.8000,23.4000
2026-04-18 04:20:00,26.8000,23.6000
2026-04-18 04:30:00,26.7000,23.4000
2026-04-18 04:40:00,26.7000,23.7000
2026-04-18 04:50:00,26.8000,0.0000
2026-04-18 05:00:00,26.7000,23.7000
2026-04-18 05:10:00,26.6000,23.7000
2026-04-18 05:20:00,26.6000,23.2000
2026-04-18 05:30:00,26.5000,23.5000
