date,time,temperature_C,pressure_hPa,wind_direction_deg,wind_speed_kmh,relative_humidity_pct,hourly_precip_mm
2026-04-19,18:00:00,25.442261975367217,1014.4981167898114,0.4459758692176326,35.07210932604298,82.2692466159158,0.0
2026-04-19,19:00:11,24.972379009592316,1014.0330962642496,344.76323469286245,40.910853116762134,85.5063662400961,0.0
2026-04-19,20:00:22,24.871179430416305,1016.5319375981405,355.393887610252,36.72889068466347,86.12457310727987,4.169278596337072e-05
2026-04-19,21:00:00,24.661277855916808,1017.1499910860148,352.5262889212081,37.87473020983382,87.20828676095866,0.0007650101118507123
2026-04-19,22:00:00,24.423065299955226,1018.3897164720963,351.01892331321096,39.27063435213101,87.91005794303811,0.001585903782118742
2026-04-19,23:00:21,24.220992854567214,1018.7495749791686,349.6901096553745,38.80181935681764,87.04501055167495,0.001050560308376671
2026-04-20,00:00:00,24.10872193075204,1017.2630554913762,350.31511102055174,37.57253466454797,86.2898861741956,0.0008983631068538213
2026-04-20,01:00:06,24.14095720938883,1017.5365717834856,350.70029182927925,39.13754333340074,86.37502043099374,0.0010658903512876328
2026-04-20,02:00:20,24.214438927262336,1018.0747868115246,348.6529289313836,36.02988765180177,83.75365395986195,0.0019483639608285188
2026-04-20,03:00:00,24.26246734423154,1017.1802327184738,346.55815565090694,34.381716178291335,83.25265503255937,0.00039090679566236374
2026-04-20,04:00:24,24.20501967178268,1016.7935742372033,344.3260253030061,32.07541520133104,84.12377036474966,0.00015631416906156898
2026-04-20,05:00:12,24.24085816820042,1016.5251534794197,339.12220149962474,33.18166662600135,83.06566549441136,0.0
2026-04-20,06:00:00,24.127173572999595,1017.3209075707657,347.4881261407126,32.112126805110954,84.25527901178627,5.871351237869487e-05
2026-04-20,07:00:05,24.21957135391858,1017.815527493126,343.54312778594135,34.90993688416825,84.01767138670272,1.929748932610269e-06
2026-04-20,08:00:03,24.52012276062044,1018.7113455816129,345.25019638392985,31.799564638864695,81.17515448075012,0.0030217481911772
2026-04-20,09:00:00,24.79527922879481,1018.6383027735133,350.6048554162854,33.93899804765396,79.31143438981651,0.001777762997001541
2026-04-20,10:00:24,24.69027209285241,1019.3640549194877,78.63921701073129,32.01084792133569,81.07737900942101,0.016051845411249138
2026-04-20,11:00:07,24.58757503909385,1019.0705477326072,2.672489674533758,33.34349299661099,83.1538640645912,0.05734113599321596
2026-04-20,12:00:00,24.183117627943716,1017.914049626692,4.407712018760208,31.085993995725854,88.38458421523487,0.5269282911237719
2026-04-20,13:00:18,24.481664750753396,1017.634619333777,6.868751594308961,23.708236049206203,86.63154408529425,1.131434131293483
2026-04-20,14:00:19,24.59220077136297,1016.8235538694389,9.247792926427355,19.510055166169977,86.77450363826637,0.07662590725319468
