Tiempo,Direccion de viento media vectorial,Direccion de viento media escalar,Direccion de rafaga
2026-04-18 08:50:00,194.4000,196.6000,191.7000
2026-04-18 09:00:00,200.6000,183.2000,188.1000
2026-04-18 09:10:00,167.7000,161.6000,174.9000
2026-04-18 09:20:00,168.9000,153.7000,167.0000
2026-04-18 09:30:00,198.1000,200.8000,198.9000
2026-04-18 09:40:00,186.8000,196.8000,206.8000
2026-04-18 09:50:00,151.4000,149.6000,163.5000
2026-04-18 10:00:00,150.9000,148.1000,141.9000
2026-04-18 10:10:00,189.2000,193.0000,154.2000
2026-04-18 10:20:00,154.6000,174.8000,156.8000
2026-04-18 10:30:00,141.8000,147.2000,131.8000
2026-04-18 10:40:00,129.4000,141.9000,165.5000
2026-04-18 10:50:00,143.4000,133.5000,140.2000
2026-04-18 11:00:00,96.2000,90.4000,104.7000
2026-04-18 11:10:00,105.2000,109.8000,101.3000
2026-04-18 11:20:00,115.6000,121.3000,103.1000
2026-04-18 11:30:00,97.4000,100.8000,101.1000
2026-04-18 11:40:00,102.5000,91.6000,98.2000
2026-04-18 11:50:00,98.3000,99.8000,93.4000
2026-04-18 12:00:00,123.7000,122.0000,108.1000
2026-04-18 12:10:00,112.4000,113.3000,105.3000
2026-04-18 12:20:00,115.8000,124.6000,111.8000
2026-04-18 12:30:00,99.0000,100.9000,98.8000
2026-04-18 12:40:00,99.4000,104.0000,76.2000
2026-04-18 12:50:00,101.5000,99.4000,100.6000
2026-04-18 13:00:00,92.9000,100.0000,95.2000
2026-04-18 13:10:00,109.8000,107.5000,101.2000
2026-04-18 13:20:00,128.0000,126.1000,133.2000
2026-04-18 13:30:00,127.7000,119.8000,133.8000
2026-04-18 13:40:00,121.5000,127.0000,134.4000
2026-04-18 13:50:00,133.0000,134.5000,132.9000
2026-04-18 14:00:00,150.8000,149.1000,132.9000
2026-04-18 14:10:00,140.8000,139.9000,130.7000
2026-04-18 14:20:00,137.9000,135.0000,134.7000
2026-04-18 14:30:00,137.4000,141.0000,137.3000
2026-04-18 14:40:00,144.5000,148.5000,136.0000
2026-04-18 14:50:00,139.2000,132.0000,134.9000
2026-04-18 15:00:00,137.6000,142.5000,135.6000
2026-04-18 15:10:00,132.7000,127.8000,138.2000
2026-04-18 15:20:00,149.7000,136.5000,133.9000
2026-04-18 15:30:00,138.5000,135.6000,136.7000
2026-04-18 15:40:00,136.2000,135.7000,134.0000
2026-04-18 15:50:00,135.5000,136.1000,135.2000
2026-04-18 16:00:00,127.1000,127.9000,128.1000
2026-04-18 16:10:00,130.0000,132.3000,135.9000
2026-04-18 16:20:00,125.6000,130.9000,129.0000
2026-04-18 16:30:00,127.7000,128.9000,131.3000
2026-04-18 16:40:00,129.1000,130.8000,130.4000
2026-04-18 16:50:00,115.5000,106.8000,129.0000
2026-04-18 17:00:00,126.5000,130.3000,107.2000
2026-04-18 17:10:00,120.4000,117.6000,130.7000
2026-04-18 17:20:00,120.2000,119.6000,112.7000
2026-04-18 17:30:00,116.9000,118.9000,127.7000
2026-04-18 17:40:00,121.2000,120.9000,106.2000
2026-04-18 17:50:00,110.9000,114.7000,101.1000
2026-04-18 18:00:00,104.8000,104.9000,107.9000
2026-04-18 18:10:00,107.5000,105.4000,100.3000
2026-04-18 18:20:00,104.0000,105.3000,104.8000
2026-04-18 18:30:00,107.5000,103.8000,99.7000
2026-04-18 18:40:00,100.7000,105.0000,100.4000
2026-04-18 18:50:00,97.6000,96.7000,99.3000
2026-04-18 19:00:00,93.1000,92.3000,93.8000
2026-04-18 19:10:00,89.7000,92.7000,95.2000
2026-04-18 19:20:00,90.5000,92.9000,94.9000
2026-04-18 19:30:00,89.5000,91.1000,93.2000
2026-04-18 19:40:00,93.1000,93.8000,94.1000
2026-04-18 19:50:00,96.6000,97.0000,93.2000
2026-04-18 20:00:00,88.5000,83.4000,91.3000
2026-04-18 20:10:00,90.5000,89.4000,96.4000
2026-04-18 20:20:00,78.5000,77.3000,79.5000
2026-04-18 20:30:00,82.7000,90.1000,83.0000
2026-04-18 20:40:00,89.3000,83.3000,88.0000
2026-04-18 20:50:00,89.9000,87.4000,86.6000
2026-04-18 21:00:00,85.0000,77.3000,82.3000
2026-04-18 21:10:00,91.9000,89.9000,94.3000
2026-04-18 21:20:00,88.4000,85.6000,90.0000
