time,hs_interpolado
2026-04-23 00:00:00,0.8870463967323303
2026-04-23 01:00:00,0.8936063647270203
2026-04-23 02:00:00,0.9122583270072937
2026-04-23 03:00:00,0.9468274712562561
2026-04-23 04:00:00,0.9734076857566833
2026-04-23 05:00:00,0.9765345454216003
2026-04-23 06:00:00,0.9678307175636292
2026-04-23 07:00:00,0.9520500898361206
2026-04-23 08:00:00,0.9369028806686401
2026-04-23 09:00:00,0.9215118288993835
2026-04-23 10:00:00,0.9088178873062134
2026-04-23 11:00:00,0.8979458212852478
2026-04-23 12:00:00,0.8887614011764526
2026-04-23 13:00:00,0.8812370300292969
2026-04-23 14:00:00,0.8742037415504456
2026-04-23 15:00:00,0.8684461712837219
2026-04-23 16:00:00,0.8644505143165588
2026-04-23 17:00:00,0.8619788289070129
2026-04-23 18:00:00,0.8595144748687744
2026-04-23 19:00:00,0.8593882918357849
2026-04-23 20:00:00,0.8680582046508789
2026-04-23 21:00:00,0.8812885284423828
2026-04-23 22:00:00,0.9002389311790466
2026-04-23 23:00:00,0.9224928617477417
